text,label
"Ronald Reagan was the 40th President of the United States, serving two terms in office from 1981 to 1989. During his presidency, Reagan implemented a number of policies and initiatives that had a significant impact on the United States and the world.\n\nSome of the key accomplishments of Ronald Reagan's presidency include:\n\nEconomic policies: Reagan implemented a number of economic policies that were designed to stimulate growth and reduce inflation. These included tax cuts, deregulation, and reduced government spending. These policies, known as Reaganomics, are credited with helping to spur economic growth in the 1980s.\n\nForeign policy: Reagan pursued a number of foreign policy initiatives, including efforts to strengthen relations with Western European countries, increase military spending, and take a tough stance against the Soviet Union. He is perhaps most well-known for his efforts to reduce tensions with the Soviet Union and negotiate arms reduction agreements.\n\nSocial issues: Reagan was a strong supporter of traditional values and took a number of steps to promote them during his presidency. He opposed abortion and supported school prayer, for example.\n\nDomestic policies: Reagan also pursued a number of domestic policies, including efforts to reduce crime and improve the education system. He signed the Americans with Disabilities Act, which prohibited discrimination against individuals with disabilities, and signed a bill that provided funding for research into Alzheimer's disease.\n\nAppointments: Reagan made a number of notable appointments during his presidency, including the appointment of Sandra Day O'Connor as the first female Supreme Court Justice.",1
"In a standard game of chess, each player starts with eight pawns. This means that there are a total of 16 pawns on the board at the beginning of the game. The pawns are placed on the second rank (row) of the board for each player, with one pawn on each of the eight squares in the rank. The pawns are the most numerous pieces on the board and play an important role in the game, as they can be used to control territory, defend other pieces, and eventually promote to a stronger piece if they reach the opposite side of the board.",1
"Arthur Guyton 's Textbook of Medical Physiology states that ""the total amount of water in a man of average weight (70 kilograms) is approximately 40 litres, averaging 57 percent of his total body weight.In a newborn infant, this may be as high as 75 percent of the body weight, but it progressively decreases from birth to old age, most of the decrease occurring during the first 10 years of life.",0
"The thyroid gland produces two hormones: thyroxine (T4) and triiodothyronine (T3). T4 is the primary hormone produced by the thyroid gland, while T3 is a more active form of thyroid hormone and is produced in smaller amounts. Both T4 and T3 are important for regulating the body's metabolism, which is the process by which the body converts food into energy. T4 and T3 help to regulate the body's metabolic rate, which is the rate at which the body burns calories.\n\nThe production and release of T4 and T3 are regulated by the hypothalamus and the pituitary gland, which are located in the brain. The hypothalamus releases a hormone called thyrotropin-releasing hormone (TRH), which stimulates the pituitary gland to release thyroid-stimulating hormone (TSH). TSH then stimulates the thyroid gland to produce and release T4 and T3. The levels of T4 and T3 in the blood are regulated by feedback mechanisms that involve the hypothalamus, pituitary gland, and thyroid gland. If the levels of T4 and T3 are too low, the hypothalamus and pituitary gland will release more TRH and TSH, which will stimulate the thyroid gland to produce and release more T4 and T3. If the levels of T4 and T3 are too high, the hypothalamus and pituitary gland will release less TRH and TSH, which will reduce the production and release of T4 and T3.",1
"Judas is a song by American recording artist Lady Gaga , from her second studio album Born This Way (2011).It was released by Interscope Records on April 15, 2011, four days ahead of its scheduled release.",0
"In South Korea, the official currency is the Korean won (KRW). The won is the primary unit of currency in South Korea and is abbreviated as KRW. It is divided into 100 smaller units called jeon, which are no longer in circulation.\n\nThe Korean won is issued by the Bank of Korea, which is the central bank of South Korea. The Bank of Korea is responsible for the issuance, circulation, and management of the Korean won, as well as for setting monetary policy in South Korea. The Korean won is used for all transactions within South Korea, including the purchase of goods and services, as well as for international trade and financial transactions.",1
"Giant pandas are native to central China, specifically the Sichuan, Shaanxi, and Gansu provinces. They are typically found in mountainous regions at elevations of 5,000 to 11,000 feet, where they live in bamboo forests. The population of giant pandas is relatively small, and they are considered an endangered species due to habitat loss and other human-related factors. They are found in a few protected areas in China, including the Wolong National Nature Reserve, the Sichuan Giant Panda Sanctuaries, and the Hubei Shennongjia National Nature Reserve.",1
"A native of Illinois , Hillary Rodham first attracted national attention in 1969 for her remarks as the first student commencement speaker at Wellesley College .",0
"6 Foot 7 Foot (also styled as ""6'7"") is a song by American rapper Lil Wayne featuring label mate, Cory Gunz .",0
"Boise State University's football team competes in the Mountain West Conference of the National Collegiate Athletic Association (NCAA) Division I Football Bowl Subdivision (FBS). The Mountain West is one of the 10 conferences that make up the FBS, which is the highest level of college football in the United States.",1
"John James ""Mr. Big"" Preston is a recurring fictional character in the HBO series Sex and the City , portrayed by Chris Noth .",0
"The Super Bowl is the annual championship game of the National Football League (NFL) in the United States. The winning team of each Super Bowl is awarded the Vince Lombardi Trophy. Here is a list of the teams that have won the Super Bowl:\n\nGreen Bay Packers (Super Bowl I)\nKansas City Chiefs (Super Bowl IV)\nDallas Cowboys (Super Bowl VI, XII, XXVII, XXVIII)\nPittsburgh Steelers (Super Bowl IX, X, XIII, XIV, XL, XLIII)\nSan Francisco 49ers (Super Bowl XVI, XIX, XXIII, XXIV, XXIX)\nOakland Raiders (Super Bowl XI, XV, XVIII)\nNew York Giants (Super Bowl XXI, XXV, XLII)\nWashington Football Team (Super Bowl XVII, XXII)\nDenver Broncos (Super Bowl XXXII, XXXIII)\nBaltimore Ravens (Super Bowl XXXV, XLVII)\nTampa Bay Buccaneers (Super Bowl XXXVII)\nNew England Patriots (Super Bowl XXXVI, XXXVIII, XXXIX, XLIX, LI, LIII)\nIndianapolis Colts (Super Bowl XLI)\nNew Orleans Saints (Super Bowl XLIV)\nChicago Bears (Super Bowl XX)\nSeattle Seahawks (Super Bowl XLVIII)\nPhiladelphia Eagles (Super Bowl LII)\nKansas City Chiefs (Super Bowl LIV, LV)\nTampa Bay Buccaneers (Super Bowl LV)\nSan Francisco 49ers (Super Bowl LIV)\nThere have been a total of 56 Super Bowls played to date. The most recent Super Bowl was Super Bowl LV, which was played on February 7, 2021 and was won by the Tampa Bay Buccaneers.\n",1
"Vaccines typically contain a small amount of a weakened or inactivated form of the virus or bacteria that causes a particular disease. When a person is vaccinated, their immune system is exposed to this modified form of the pathogen and mounts a response to it, producing antibodies to fight the infection. The goal of vaccination is to stimulate the immune system to produce immunity to a particular disease, so that if the person is subsequently exposed to the disease, their immune system will recognize it and be able to fight it off before it causes illness.\n\nThere are several types of components that may be included in a vaccine, including:\n\nAntigens: These are the components of the virus or bacteria that stimulate the immune system to produce antibodies. Antigens are typically proteins or polysaccharides (sugar molecules).\n\nAdjuvants: These are substances that are added to some vaccines to enhance the immune response to the vaccine. Adjuvants may include aluminum salts, oil emulsions, or other substances that help to stimulate the immune system.\n\nPreservatives: These are added to some vaccines to help prevent contamination by other microorganisms. Preservatives may include substances like thimerosal (ethylmercury) or phenol.\n\nStabilizers: These are added to some vaccines to help prevent the breakdown of the vaccine over time. Stabilizers may include sugars, amino acids, or other substances.\n\nInactivating agents: These are added to some vaccines to inactivate the virus or bacteria, making it less harmful or unable to cause disease. Inactivating agents may include chemicals like formaldehyde or alcohol.\n\nOverall, the specific components of a vaccine will depend on the specific vaccine and the disease it is intended to prevent.",1
"Kris Nathan Humphries (born February 6, 1985) is an American professional basketball player with the Brooklyn Nets .",0
"The North American Free Trade Agreement (NAFTA) is a trade agreement between the United States, Canada, and Mexico that was implemented in 1994. The purpose of NAFTA is to eliminate tariffs and other trade barriers between the three countries, making it easier for them to trade goods and services with each other. This includes eliminating tariffs on most goods, as well as establishing rules for trade in areas such as intellectual property, agriculture, and investment.\n\nThe overall goal of NAFTA is to promote economic growth and development in all three countries by increasing trade and investment among them. It is also intended to improve the efficiency of production and distribution, leading to lower prices for consumers and increased competitiveness in the global economy.\n\nSince its implementation, NAFTA has had a significant impact on the economies of the United States, Canada, and Mexico. It has helped to increase trade among the three countries and has contributed to economic growth and job creation in all three countries. However, it has also been the subject of controversy and criticism, with some arguing that it has led to job losses and wage stagnation in certain sectors.",1
"The company was formed by a merger between Massey Harris and the Ferguson Company farm machinery manufacturer in 1953, creating the company Massey Harris Ferguson.",0
"Rogue waves seem not to have a single distinct cause, but occur where physical factors such as high winds and strong currents cause waves to merge to create a single exceptionally large wave.",0
